1	1	
1	100	
1	123	
1	164	
1	205	
1	210	
1	214	
1	398	
1	642	
1	669	
1	1982	
2	2	
3	3	
4	4	
5	5	
6	6	
6	477	
7	7	
8	8	
9	9	
10	10	
11	11	
11	1781	
11	1988	
12	12	
13	13	
14	14	
14	381	
14	1159	
14	1988	
15	15	
15	75	
16	16	
16	39	
17	17	
17	83	
17	1134	
18	18	
19	19	
20	20	
21	21	
21	679	
22	22	
23	23	
24	24	
25	25	
26	26	
26	848	
27	27	
28	28	
29	29	
30	30	
31	31	
32	32	
33	33	
34	34	
35	35	
35	848	
36	36	
37	37	
38	38	
39	16	
39	39	
40	40	
41	41	
41	67	
42	42	
43	43	
43	205	
44	44	
44	77	
44	222	
44	364	
45	45	
45	728	
46	46	
46	168	
46	491	
47	47	
48	48	
49	49	
50	50	
51	51	
51	249	
52	52	
53	53	
53	214	
54	54	
54	93	
55	55	
55	405	
56	56	
57	57	
58	58	
58	215	
59	59	
60	60	
61	61	
62	62	
63	63	
64	64	
64	206	
64	207	
65	65	
66	66	
67	41	
67	67	
67	79	
68	68	
68	1205	
69	69	
70	70	
71	71	
72	72	
73	73	
74	74	
74	852	
74	864	
74	865	
74	1919	
75	15	
75	75	
75	94	
76	76	
77	44	
77	77	
77	364	
77	405	
77	438	
77	561	
77	1134	
77	1141	
78	78	
79	67	
79	79	
80	80	
81	81	
82	82	
82	222	
82	799	
83	17	
83	83	
83	1349	
84	84	
85	85	
85	1148	
86	86	
87	87	
87	88	
87	2333	
88	87	
88	88	
88	2333	
89	89	
90	90	
90	107	
91	91	
91	214	
91	1593	
92	92	
93	54	
93	93	
93	405	
94	75	
94	94	
95	95	
96	96	
97	97	
98	98	
98	224	
98	364	
99	99	
100	1	
100	100	
100	364	
101	101	
102	102	
103	103	
104	104	
105	105	
106	106	
106	210	
106	627	
106	1050	
106	1393	
106	1549	
106	2023	
106	3112	
107	90	
107	107	
107	1026	
107	1258	
107	1292	
107	1497	
108	108	
108	361	
109	109	
110	110	
111	111	
112	112	
113	113	
114	114	
115	115	
116	116	
117	117	
118	118	
119	119	
120	120	
120	175	
121	121	
121	221	
122	122	
122	297	
123	1	
123	123	
123	165	
123	196	
123	637	
123	1781	
124	124	
124	2133	
124	2134	
125	125	
125	1816	
126	126	
127	127	
128	128	
129	129	
130	130	
131	131	
132	132	
133	133	
134	134	
134	1909	
135	135	
136	136	
137	137	
138	138	
139	139	
140	140	
140	152	
140	196	
141	141	
142	142	
142	162	
142	163	
142	192	
142	362	
142	2952	
143	143	
144	144	
145	145	
145	1270	
145	1902	
146	146	
147	147	
148	148	
149	149	
150	150	
151	151	
152	140	
152	152	
152	454	
152	1319	
153	153	
153	754	
154	154	
155	155	
155	849	
155	944	
155	2846	
156	156	
157	157	
158	158	
159	159	
160	160	
161	161	
162	142	
162	162	
162	2952	
163	142	
163	163	
163	2952	
164	1	
164	164	
165	123	
165	165	
165	637	
166	166	
167	167	
168	46	
168	168	
168	491	
168	1713	
168	1901	
169	169	
170	170	
171	171	
172	172	
173	173	
174	174	
175	120	
175	175	
176	176	
177	177	
178	178	
178	1667	
179	179	
180	180	
181	181	
182	182	
183	183	
184	184	
185	185	
185	491	
185	1713	
185	1901	
186	186	
187	187	
188	188	
189	189	
190	190	
191	191	
192	142	
192	192	
192	2952	
193	193	
194	194	
195	195	
196	123	
196	140	
196	196	
196	249	
196	254	
196	272	
196	321	
196	435	
196	437	
196	463	
196	483	
196	491	
196	560	
196	583	
196	627	
196	631	
196	632	
196	642	
196	644	
196	653	
196	680	
196	761	
196	762	
196	763	
196	919	
196	989	
196	1102	
196	1109	
196	1140	
196	1188	
196	1306	
196	1464	
196	1491	
196	1767	
196	1781	
196	1787	
196	1949	
196	2059	
196	2126	
196	2732	
196	3073	
197	197	
198	198	
199	199	
200	200	
201	201	
202	202	
202	931	
203	203	
203	2690	
204	204	
204	3194	
205	1	
205	43	
205	205	
205	1358	
205	1565	
205	1781	
205	1788	
206	64	
206	206	
206	644	
207	64	
207	207	
207	644	
208	208	
208	378	
209	209	
209	378	
209	731	
209	798	
209	1050	
209	1102	
209	3008	
210	1	
210	106	
210	210	
210	378	
210	627	
210	1024	
210	1051	
210	1102	
210	1132	
210	1390	
210	1486	
210	1549	
210	1706	
210	1826	
210	1878	
210	2060	
210	2155	
210	2168	
210	2719	
210	2723	
210	2838	
210	2842	
210	2855	
210	2879	
210	3077	
210	3080	
210	3106	
211	211	
212	212	
213	213	
214	1	
214	53	
214	91	
214	214	
215	58	
215	215	
216	216	
217	217	
217	323	
217	689	
218	218	
219	219	
220	220	
221	121	
221	221	
222	44	
222	82	
222	222	
223	223	
224	98	
224	224	
224	267	
224	364	
224	405	
224	438	
224	763	
224	1139	
224	1141	
224	1215	
224	1223	
224	1647	
224	1781	
224	1787	
224	1792	
225	225	
226	226	
227	227	
228	228	
229	229	
230	230	
230	333	
231	231	
232	232	
232	852	
232	864	
233	233	
234	234	
235	235	
236	236	
236	1349	
237	237	
238	238	
238	633	
238	643	
239	239	
240	240	
241	241	
242	242	
243	243	
244	244	
245	245	
245	1222	
246	246	
247	247	
248	248	
249	51	
249	196	
249	249	
249	303	
249	438	
249	762	
249	1425	
249	1781	
250	250	
250	320	
250	753	
250	1237	
250	2220	
251	251	
252	252	
253	253	
254	196	
254	254	
254	321	
254	387	
254	794	
255	255	
256	256	
257	257	
258	258	
259	259	
260	260	
261	261	
262	262	
263	263	
264	264	
264	479	
265	265	
265	464	
265	720	
266	266	
267	224	
267	267	
267	1323	
268	268	
269	269	
270	270	
270	678	
271	271	
271	560	
271	972	
271	1774	
272	196	
272	272	
273	273	
273	972	
273	2911	
274	274	
274	488	
274	1754	
274	2358	
275	275	
276	276	
276	972	
276	1471	
277	277	
278	278	
279	279	
279	657	
280	280	
281	281	
282	282	
283	283	
284	284	
284	964	
284	1396	
285	285	
286	286	
287	287	
288	288	
288	729	
288	989	
288	1781	
289	289	
290	290	
291	291	
292	292	
293	293	
294	294	
295	295	
296	296	
296	1393	
297	122	
297	297	
298	298	
299	299	
299	479	
299	862	
299	863	
299	2146	
300	300	
300	638	
301	301	
302	302	
303	249	
303	303	
303	438	
303	3185	
304	304	
305	305	
306	306	
307	307	
307	2227	
307	2783	
307	3054	
308	308	
308	1175	
308	1919	
308	1969	
308	1997	
308	2191	
308	2388	
308	2679	
308	3054	
308	3121	
309	309	
309	864	
309	1919	
309	2191	
309	2388	
309	2783	
309	2784	
309	3054	
309	3121	
310	310	
310	1222	
311	311	
311	1524	
311	1931	
311	2214	
311	2544	
312	312	
313	313	
314	314	
315	315	
316	316	
316	1072	
316	1781	
317	317	
317	497	
317	867	
318	318	
319	319	
319	380	
320	250	
320	320	
320	1237	
321	196	
321	254	
321	321	
